binmids - fit	dM/dlogD (ug/m3) - fit comb	dN/dlogD (1/cm3) - fit comb	binmids - meas	dM/dlogD (ug/m3) - meas	dN/dlogD (1/cm3) - meas		dM/dlogD (ug/m3) - fit HG	dM/dlogD (ug/m3) - fit lG	dN/dlogD (1/cm3) - fit HG	dN/dlogD (1/cm3) - fit LG	dM/dlogD (ug/m3) - meas HG	dM/dlogD (ug/m3) - meas HG bins	dN/dlogD (1/cm3) - meas HG	dN/dlogD (1/cm3) - meas HG bins													
30.5386	3.96E-05	3.19041					7.46E-05	8.07E-05	3.28734	5.69366																	
31.9927	5.27E-05	3.51119					9.53E-05	0.000103466	3.60879	6.07095																	
33.516	6.97E-05	3.83898					0.000120889	0.000131716	3.93622	6.43678																	
35.1119	9.13E-05	4.16998					0.000152326	0.000166476	4.26578	6.7862																	
36.7838	0.000118741	4.49995					0.000190624	0.000208899	4.59325	7.11428																	
38.5353	0.000153083	4.82434					0.000236916	0.000260249	4.91408	7.41621																	
40.3702	0.000195733	5.13834					0.000292433	0.000321896	5.22355	7.6874																	
42.2924	0.000248206	5.43705					0.000358488	0.000395286	5.51684	7.92361																	
44.3062	0.000312156	5.71556					0.000436453	0.000481924	5.78918	8.12107																	
46.4159	0.000389353	5.96913					0.000527735	0.000583334	6.03594	8.27656																	
48.626	0.000481643	6.19325					0.000633738	0.000701013	6.25279	8.38751																	
50.9414	0.000590907	6.38383					0.00075582	0.000836385	6.43583	8.45205																	
53.367	0.000718992	6.53732					0.000895247	0.000990735	6.58168	8.46911																	
55.9081	0.000867641	6.65081					0.00105313	0.00116514	6.6876	8.4384																	
58.5702	0.00103841	6.72209					0.00123037	0.00136042	6.75157	8.36043																	
61.3591	0.00123256	6.74978					0.0014276	0.00157702	6.77238	8.23652																	
64.2807	0.00145097	6.73334					0.0016451	0.00181498	6.74961	8.06872																	
67.3415	0.00169402	6.6731					0.00188275	0.00207386	6.68371	7.85982																	
70.548	0.00196152	6.57022					0.00213997	0.00235265	6.57594	7.61319																	
73.9072	0.00225256	6.4267					0.00241568	0.00264975	6.42835	7.33276																	
77.4264	0.00256551	6.24527					0.00270823	0.00296295	6.24371	7.02286																	
81.1131	0.00289788	6.02935					0.00301542	0.00328938	6.02542	6.68817																	
84.9753	0.00324638	5.7829					0.00333445	0.00362557	5.77741	6.33355																	
89.0215	0.00360686	5.51031					0.00366198	0.00396742	5.50403	5.96394																	
93.2603	0.00397439	5.21629					0.00399414	0.00431034	5.2099	5.58426																	
97.701	0.00434333	4.90573					0.00432659	0.00464928	4.89982	5.1993																	
102.353	0.00470747	4.58354					0.00465462	0.00497888	4.57858	4.8136																	
107.227	0.00506014	4.25455					0.00497321	0.00529356	4.25093	4.43141																	
112.332	0.00539448	3.92339					0.00527722	0.00558773	3.92138	4.05658																	
117.681	0.00570359	3.5944					0.00556146	0.0058559	3.59413	3.69253																	
123.285	0.00598078	3.27149					0.00582087	0.00609288	3.27304	3.34222																	
129.155	0.00621983	2.95816					0.00605065	0.00629395	2.96149	3.0081																	
135.305	0.00641521	2.65737					0.00624643	0.00645498	2.66238	2.69213																	
141.747	0.00656228	2.37158					0.00640437	0.0065726	2.37811	2.39578																	
148.497	0.00665748	2.10272					0.00652133	0.00664432	2.11054	2.12003																	
155.568	0.00669848	1.85216					0.00659495	0.00666861	1.86105	1.86546																	
162.975	0.00668427	1.62081					0.00662372	0.00664493	1.63051	1.63221																	
170.735	0.0066152	1.4091					0.00660705	0.00657381	1.41935	1.42007																	
178.865	0.00649297	1.21704					0.00654529	0.00645676	1.2276	1.22855																	
187.382	0.00632056	1.0443					0.00643969	0.00629626	1.05494	1.05687																	
196.304	0.00610209	0.890229					0.0062924	0.00609568	0.90074	0.904057																	
205.651	0.0058427	0.753934					0.00610637	0.00585913	0.764138	0.768984																	
215.443	0.00554829	0.634337					0.00588526	0.00559132	0.644089	0.650406																	
225.702	0.00522537	0.530228					0.0056333	0.00529745	0.539413	0.547014																	
236.449	0.00488074	0.440313					0.0053552	0.00498299	0.448846	0.457466																	
247.708	0.00452132	0.363258					0.00505596	0.00465355	0.371087	0.380422																	
259.502	0.00415391	0.297732					0.00474074	0.0043147	0.304828	0.314571																	
271.859	0.00378495	0.242432					0.00441474	0.0039718	0.248792	0.258654																	
284.804	0.00342038	0.196115					0.00408299	0.0036299	0.201752	0.211478																	
298.365	0.00306549	0.157611					0.00375031	0.00329362	0.162556	0.171932																	
312.572	0.00272481	0.12584					0.00342114	0.00296703	0.130133	0.138994																	
327.455	0.00240206	0.0998175					0.00309949	0.00265365	0.103508	0.111733																	
343.047	0.00210012	0.0786593					0.00278885	0.00235632	0.0818015	0.0893127																	
359.381	0.00182102	0.0615813					0.00249216	0.00207729	0.0642319	0.070989																	
376.494	0.00156602	0.0478964					0.00221177	0.00181815	0.0501119	0.0561068																	
394.421	0.00133565	0.0370095					0.00194949	0.00157992	0.0388448	0.0440947																	
413.201	0.00112979	0.0284105					0.00170654	0.00136305	0.0299176	0.0344591																	
432.876	0.000947792	0.0216671					0.00148364	0.0011675	0.022894	0.0267773																	
453.488	0.000788571	0.0164164					0.00128101	0.00099283	0.0174068	0.0206908																	
475.081	0.000650699	0.0123569					0.00109849	0.000838231	0.0131497	0.0158977																	
497.702	0.000532514	0.00924055					0.000935519	0.000702624	0.00986994	0.0121461																	
521.401	0.000432208	0.00686502					0.00079127	0.000584728	0.00736063	0.00922753																	
546.228	0.000347909	0.00506689					0.000664679	0.00048312	0.00545402	0.00697078																	
572.237	0.000277748	0.00371532					0.000554516	0.000396304	0.00401532	0.00523628																	
599.484	0.000219911	0.00270649					0.000459444	0.000322754	0.00293714	0.00391121																	
628.029	0.000172685	0.00195872					0.000378064	0.000260967	0.00213467	0.002905																	
657.933	0.000134485	0.0014083					0.000308968	0.000209494	0.00154148	0.0021455																	
689.261	0.000103873	0.00100594					0.000250771	0.000166966	0.00110598	0.00157563																	
722.081	7.96E-05	0.000713848					0.000202142	0.000132116	0.000788419	0.00115061																	
756.463	6.05E-05	0.000503262					0.000161827	0.00010379	0.00055843	0.000835506																	
792.483	4.55E-05	0.000352483					0.000128665	8.10E-05	0.00039299	0.000603276																	
830.218	3.40E-05	0.000245266					0.000101598	6.27E-05	0.000274787	0.000433141																	
869.749	2.52E-05	0.000169548					7.97E-05	4.82E-05	0.000190902	0.000309235																	
911.163	1.85E-05	0.000116441					6.21E-05	3.68E-05	0.000131774	0.000219531																	
954.548	1.35E-05	7.94E-05					4.80E-05	2.79E-05	9.04E-05	0.00015497																	
1000	9.77E-06	5.39E-05					3.69E-05	2.10E-05	6.16E-05	0.000108779																	
