binmids - fit	dM/dlogD (ug/m3) - fit comb	dN/dlogD (1/cm3) - fit comb	binmids - meas	dM/dlogD (ug/m3) - meas	dN/dlogD (1/cm3) - meas		dM/dlogD (ug/m3) - fit HG	dM/dlogD (ug/m3) - fit lG	dN/dlogD (1/cm3) - fit HG	dN/dlogD (1/cm3) - fit LG	dM/dlogD (ug/m3) - meas HG	dM/dlogD (ug/m3) - meas HG bins	dN/dlogD (1/cm3) - meas HG	dN/dlogD (1/cm3) - meas HG bins													
10	3.38E-09	0.044871	41.8876	5.95E-06	0.0858706		2.66E-08	2.38E-08	0.0506832	0.224152	6.52E-06	41.104	0.0996839	41.104													
10.4762	5.49E-09	0.0577881	47.7242	9.79E-06	0.0956084		4.01E-08	3.63E-08	0.0649452	0.273712	5.49E-06	45.0955	0.0635485	45.0955													
10.975	8.84E-09	0.0739377	54.3741	0.000307557	2.02991		5.99E-08	5.49E-08	0.082686	0.332347	1.28E-05	49.4747	0.112144	49.4747													
11.4976	1.41E-08	0.093983	61.9506	0.00155425	6.93604		8.91E-08	8.25E-08	0.104597	0.40127	0.000185363	54.2792	1.22985	54.2792													
12.045	2.24E-08	0.118683	70.5829	0.00217958	6.57662		1.31E-07	1.23E-07	0.131463	0.481756	0.00140518	59.5502	7.06011	59.5502													
12.6186	3.52E-08	0.148896	80.4179	0.00298749	6.09504		1.93E-07	1.82E-07	0.16417	0.575129	0.00178812	65.333	6.80342	65.333													
13.2194	5.49E-08	0.185581	91.6234	0.00383956	5.29653		2.80E-07	2.68E-07	0.203697	0.68273	0.002267	71.6775	6.5318	71.6775													
13.8489	8.49E-08	0.229794	104.39	0.00468677	4.37143		4.05E-07	3.91E-07	0.251117	0.805896	0.00283203	78.638	6.17916	78.638													
14.5083	1.30E-07	0.282683	118.936	0.00569634	3.5924		5.82E-07	5.67E-07	0.307587	0.945922	0.00347961	86.2745	5.74927	86.2745													
15.1991	1.98E-07	0.345476	135.509	0.00622201	2.65313		8.30E-07	8.16E-07	0.374337	1.10402	0.00400538	94.6525	5.0116	94.6525													
15.9228	2.99E-07	0.41946	154.39	0.00676731	1.95112		1.18E-06	1.17E-06	0.452646	1.28129	0.00466721	103.844	4.42222	103.844													
16.681	4.47E-07	0.505963	175.903	0.00646205	1.25973		1.65E-06	1.65E-06	0.54382	1.47864	0.00544947	113.928	3.9101	113.928													
17.4753	6.63E-07	0.606321	200.414	0.00623267	0.821526		2.31E-06	2.33E-06	0.649163	1.69678	0.00586613	124.992	3.18739	124.992													
18.3074	9.75E-07	0.721841	228.339	0.00553275	0.493093		3.20E-06	3.26E-06	0.769935	1.93613	0.00625044	137.13	2.57184	137.13													
19.1791	1.42E-06	0.853762	260.156	0.00401059	0.241677		4.42E-06	4.52E-06	0.907309	2.19679	0.00684227	150.446	2.13199	150.446													
20.0923	2.06E-06	1.0032	296.406	0.00271592	0.110658		6.04E-06	6.23E-06	1.06233	2.47851	0.00637392	165.056	1.50398	165.056													
21.049	2.96E-06	1.1711	337.708	0.00208872	0.0575421		8.21E-06	8.52E-06	1.23584	2.7806	0.00652717	181.084	1.1663	181.084													
22.0513	4.21E-06	1.35818	384.764	0.00109309	0.0203611		1.11E-05	1.16E-05	1.42846	3.10194	0.00628034	198.669	0.849806	198.669													
23.1013	5.94E-06	1.56485	438.377	0.00112463	0.0141642		1.49E-05	1.56E-05	1.64049	3.44091	0.00582483	217.962	0.596858	217.962													
24.2013	8.32E-06	1.79121	499.461	0.00114351	0.00973789		1.98E-05	2.09E-05	1.8719	3.79543	0.0120918	239.128	0.938275	239.128													
25.3536	1.16E-05	2.03693					2.61E-05	2.78E-05	2.12223	4.16288																	
26.5609	1.59E-05	2.30123					3.43E-05	3.67E-05	2.39058	4.54019																	
27.8256	2.17E-05	2.58285					4.48E-05	4.80E-05	2.67557	4.92379																	
29.1505	2.95E-05	2.88002					5.80E-05	6.25E-05	2.97529	5.30973																	
