binmids - fit	dM/dlogD (ug/m3) - fit comb	dN/dlogD (1/cm3) - fit comb	binmids - meas	dM/dlogD (ug/m3) - meas	dN/dlogD (1/cm3) - meas		dM/dlogD (ug/m3) - fit HG	dM/dlogD (ug/m3) - fit lG	dN/dlogD (1/cm3) - fit HG	dN/dlogD (1/cm3) - fit LG	dM/dlogD (ug/m3) - meas HG	dM/dlogD (ug/m3) - meas HG bins	dN/dlogD (1/cm3) - meas HG	dN/dlogD (1/cm3) - meas HG bins													
112.332	0.00554835	3.88392					0.00520656	0.00769855	3.78046	5.3696																	
117.681	0.00640758	3.86208					0.00618301	0.00848367	3.75069	5.33544																	
123.285	0.00730555	3.80487					0.00722106	0.0092555	3.6934	5.22157																	
129.155	0.0082232	3.71386					0.00829378	0.00999674	3.60986	5.03309																	
135.305	0.00913815	3.59152					0.00936819	0.0106895	3.5019	4.77827																	
141.747	0.0100255	3.4411					0.0104066	0.0113162	3.37183	4.46796																	
148.497	0.0108588	3.26651					0.0113688	0.01186	3.22238	4.11482																	
155.568	0.0116114	3.07212					0.0122144	0.0123058	3.05658	3.73245																	
162.975	0.012258	2.86259					0.0129057	0.0126408	2.8777	3.33457																	
170.735	0.0127756	2.64269					0.0134104	0.0128554	2.68907	2.93419																	
178.865	0.0131454	2.41714					0.0137042	0.012943	2.49407	2.54295																	
187.382	0.0133535	2.1904					0.0137726	0.0129011	2.29596	2.17066																	
196.304	0.0133921	1.96659					0.0136122	0.012731	2.09782	1.82494																	
205.651	0.0132595	1.74932					0.0132311	0.0124377	1.90249	1.51114																	
215.443	0.0129609	1.54168					0.0126477	0.0120298	1.71247	1.23244																	
225.702	0.0125076	1.34612					0.0118899	0.011519	1.52994	0.989986																	
236.449	0.0119163	1.16451					0.0109925	0.0109199	1.35667	0.78324																	
247.708	0.0112083	0.998083					0.00999467	0.0102485	1.19405	0.610327																	
259.502	0.0104079	0.847537					0.00893697	0.00952239	1.04309	0.468417																	
271.859	0.00954157	0.713046					0.00785893	0.00875937	0.904415	0.354084																	
284.804	0.00863583	0.594352					0.00679654	0.00797703	0.778329	0.263622																	
298.365	0.00771645	0.490837					0.00578048	0.00719204	0.664826	0.193312																	
312.572	0.00680706	0.401603					0.00483493	0.00641954	0.563639	0.139617																	
327.455	0.00592832	0.325555					0.00397712	0.00567281	0.474289	0.0993166																	
343.047	0.00509721	0.261468					0.00321735	0.00496288	0.396127	0.0695836																	
359.381	0.00432676	0.208056					0.00255965	0.00429844	0.328378	0.048017																	
376.494	0.00362595	0.164025					0.00200268	0.00368579	0.270186	0.0326351																	
394.421	0.00299993	0.128117					0.00154098	0.0031289	0.220649	0.0218463																	
413.201	0.00245035	0.0991444					0.00116609	0.00262963	0.17885	0.0144036																	
432.876	0.00197595	0.0760148					0.000867796	0.00218796	0.143888	0.00935341																	
453.488	0.00157308	0.0577425					0.00063512	0.00180229	0.114897	0.00598232																	
475.081	0.00123639	0.043457					0.000457135	0.00146978	0.0910629	0.00376853																	
497.702	0.000959381	0.0324034					0.000323582	0.00118665	0.0716348	0.00233818																	
521.401	0.000734945	0.0239381					0.000225256	0.000948496	0.0559314	0.00142884																	
546.228	0.000555837	0.0175208					0.000154213	0.000750566	0.0433447	0.000859992																	
572.237	0.000415021	0.0127054					0.000103828	0.00058801	0.0333399	0.000509808																	
599.484	0.000305929	0.00912825					6.87E-05	0.000456059	0.0254532	0.00029766																	
628.029	0.000222639	0.00649762					4.48E-05	0.000350187	0.0192872	0.000171174																	
657.933	0.00015996	0.00458235					2.87E-05	0.000266208	0.0145059	9.70E-05																	
689.261	0.000113462	0.00320176					1.81E-05	0.000200347	0.0108285	5.41E-05																	
722.081	7.95E-05	0.00221645					1.12E-05	0.000149275	0.00802313	2.97E-05																	
756.463	5.49E-05	0.00152017					6.81E-06	0.000110112	0.00590019	1.61E-05																	
792.483	3.75E-05	0.00103299					4.08E-06	8.04E-05	0.00430663	8.57E-06																	
830.218	2.53E-05	0.000695448					2.40E-06	5.81E-05	0.00312002	4.50E-06																	
869.749	1.68E-05	0.000463875					1.39E-06	4.16E-05	0.0022435	2.33E-06																	
911.163	1.10E-05	0.000306553					7.94E-07	2.95E-05	0.0016012	1.18E-06																	
954.548	7.16E-06	0.000200713					4.45E-07	2.07E-05	0.00113426	5.94E-07																	
1000	4.58E-06	0.000130201					2.45E-07	1.44E-05	0.000797495	2.94E-07																	
