time centers	number conc comb	mass conc comb	number conc BBHG	mass conc BBHG	number conc BBLG	mass conc BBLG	"this is for 20120601 sp244 using calib ID 8,9 (linear fits) with AD corr added, file x001-x013"																						
6-1-2012 01:04:30	0.799991	0.00116442	0.799991	0.00116442	0.799991	0.00119511																							
6-1-2012 01:05:30	0.800061	0.00124714	0.800061	0.00124714	0.800061	0.00127111																							
6-1-2012 01:06:30	0.728346	0.000879037	0.728346	0.000879037	0.728346	0.000888419																							
6-1-2012 01:07:30	0.872269	0.000600727	0.872269	0.000600727	0.872269	0.000628719																							
6-1-2012 01:08:30	0.993374	0.00150823	0.993374	0.00150823	0.993374	0.00153523																							
6-1-2012 01:09:30	1.4762	0.00250087	1.4762	0.00250087	1.4091	0.00253301																							
6-1-2012 01:10:30	1.2582	0.00207752	1.2582	0.00207752	1.2582	0.00210605																							
6-1-2012 01:11:30	0.872686	0.000743051	0.872686	0.000743051	0.872686	0.000775171																							
6-1-2012 01:12:30	0.533208	0.000849581	0.533208	0.000849581	0.533208	0.000860916																							
6-1-2012 01:13:30	0.867089	0.00229746	0.867089	0.00207811	0.867089	0.00230997																							
6-1-2012 01:14:30	0.664491	0.000720681	0.664491	0.000720681	0.664491	0.000741798																							
6-1-2012 01:15:30	1.13698	0.00281556	1.13698	0.00258917	1.13698	0.0028417																							
6-1-2012 01:16:30	1.19616	0.000727263	1.19616	0.000727263	1.19616	0.00075845																							
6-1-2012 01:17:30	0.866535	0.000915404	0.866535	0.000915404	0.866535	0.000944575																							
6-1-2012 01:18:30	1.19997	0.0014263	1.19997	0.0014263	1.19997	0.00145128																							
6-1-2012 01:19:30	0.736252	0.0010202	0.736252	0.0010202	0.736252	0.00102751																							
6-1-2012 01:20:30	1.39462	0.0110027	1.39462	0.00250206	1.39462	0.011032																							
6-1-2012 01:21:30	0.996999	0.000991515	0.996999	0.000991515	0.996999	0.00101076																							
6-1-2012 01:22:30	0.939281	0.00113797	0.939281	0.00113797	0.939281	0.00116823																							
6-1-2012 01:23:30	0.930223	0.00167442	0.930223	0.00167442	0.930223	0.00167655																							
6-1-2012 01:24:30	1.00318	0.00212674	1.00318	0.00212674	1.00318	0.00215805																							
6-1-2012 01:25:30	1.19613	0.00105136	1.19613	0.00105136	1.19613	0.00109694																							
6-1-2012 01:26:30	0.863779	0.00100162	0.863779	0.00100162	0.863779	0.00103342																							
6-1-2012 01:27:30	1.07362	0.000950833	1.07362	0.000950833	1.07362	0.000990315																							
6-1-2012 01:28:30	1.4663	0.0018329	1.4663	0.0018329	1.4663	0.00187891																							
6-1-2012 01:29:30	1.00019	0.00615792	1.00019	0.00309543	1.00019	0.0061811																							
6-1-2012 01:30:30	1.33404	0.0020445	1.33404	0.0020445	1.33404	0.002082																							
6-1-2012 01:31:30	1.33293	0.00190905	1.33293	0.00190905	1.33293	0.00196355																							
6-1-2012 01:32:30	1.59938	0.00216826	1.59938	0.00216826	1.53273	0.00220785																							
6-1-2012 01:33:30	1.3332	0.00179464	1.3332	0.00179464	1.3332	0.00182738																							
6-1-2012 01:34:30	1.46718	0.00223339	1.46718	0.00223339	1.46718	0.00228152																							
6-1-2012 01:35:30	1.19978	0.00174013	1.19978	0.00174013	1.19978	0.00177957																							
6-1-2012 01:36:30	1.73355	0.00212311	1.73355	0.00212311	1.73355	0.00218214																							
6-1-2012 01:37:30	1.73278	0.00247028	1.73278	0.00247028	1.73278	0.0025224																							
6-1-2012 01:38:30	1.60027	0.00269927	1.60027	0.00269927	1.60027	0.00277003																							
6-1-2012 01:39:30	1.2003	0.00218225	1.2003	0.00218225	1.2003	0.00220428																							
6-1-2012 01:40:30	0.999633	0.000670862	0.999633	0.000670862	0.999633	0.000707351																							
6-1-2012 01:41:30	1.53383	0.00308922	1.53383	0.00307777	1.53383	0.00312279																							
6-1-2012 01:42:30	0.797382	0.00172527	0.797382	0.00172527	0.797382	0.00173039																							
6-1-2012 01:43:30	0.867063	0.00148205	0.867063	0.00148205	0.867063	0.00151344																							
6-1-2012 01:44:30	1.47074	0.00199611	1.47074	0.00199611	1.47074	0.00204576																							
6-1-2012 01:45:30	0.999976	0.00136122	0.999976	0.00136122	0.999976	0.00136543																							
6-1-2012 01:46:30	1.4668	0.00255912	1.4668	0.00255912	1.4668	0.00259853																							
6-1-2012 01:47:30	1.26635	0.00204313	1.26635	0.00204313	1.26635	0.0020913																							
6-1-2012 01:48:30	1.13338	0.00211064	1.13338	0.00211064	1.13338	0.00214147																							
6-1-2012 01:49:30	1.00008	0.00378134	1.00008	0.00330038	1.00008	0.00380684																							
6-1-2012 01:50:30	0.866624	0.00102707	0.866624	0.00102707	0.866624	0.00105157																							
6-1-2012 01:51:30	1.6666	0.00129612	1.6666	0.00129612	1.6666	0.00135009																							
6-1-2012 01:52:30	1.26651	0.00102139	1.26651	0.00102139	1.26651	0.00106446																							
6-1-2012 01:53:30	0.733579	0.00114997	0.733579	0.00114997	0.733579	0.00115482																							
6-1-2012 01:54:30	1.1332	0.00214053	1.1332	0.00214053	1.1332	0.00217952																							
6-1-2012 01:55:30	1.40002	0.00128584	1.40002	0.00128584	1.40002	0.00132045																							
6-1-2012 01:56:30	0.933554	0.00139583	0.933554	0.00139583	0.866871	0.00140414																							
6-1-2012 01:57:30	1.00002	0.00206595	1.00002	0.00188434	1.00002	0.00209104																							
6-1-2012 01:58:30	1.33297	0.00142293	1.33297	0.00142293	1.33297	0.00146988																							
6-1-2012 01:59:30	1.26245	0.00201676	1.26245	0.00201676	1.26245	0.00205401																							
6-1-2012 02:00:30	1.27048	0.0025515	1.27048	0.00239931	1.27048	0.00257893																							
6-1-2012 02:01:30	1.19975	0.00195358	1.19975	0.00195358	1.19975	0.00198441																							
6-1-2012 02:02:30	1.00042	0.00195851	1.00042	0.00195851	1.00042	0.0019786																							
6-1-2012 02:03:30	1.06289	0.00133835	1.06289	0.00133835	1.06289	0.00137812																							
6-1-2012 02:04:30	1.07006	0.00238427	1.07006	0.00238427	1.07006	0.00239228																							
6-1-2012 02:05:30	1.06702	0.00178369	1.06702	0.00178369	1.06702	0.00181517																							
6-1-2012 02:06:30	0.800606	0.00114125	0.800606	0.00114125	0.800606	0.00115839																							
6-1-2012 02:07:30	1.20043	0.00151225	1.20043	0.00151225	1.20043	0.00155173																							
6-1-2012 02:08:30	1.06603	0.00268499	1.06603	0.00268499	1.06603	0.00269959																							
6-1-2012 02:09:30	0.733486	0.00124797	0.733486	0.00124797	0.733486	0.00125315																							
6-1-2012 02:10:30	0.733115	0.00105516	0.733115	0.00105516	0.733115	0.00107569																							
6-1-2012 02:11:30	0.933181	0.00142826	0.933181	0.00142826	0.866525	0.00145824																							
6-1-2012 02:12:30	0.799919	0.00162939	0.799919	0.00162939	0.799919	0.00166636																							
6-1-2012 02:13:30	0.866713	0.0022594	0.866713	0.0022594	0.866713	0.00228797																							
6-1-2012 02:14:30	1.60038	0.00192832	1.60038	0.00192832	1.60038	0.00194316																							
6-1-2012 02:15:30	0.933538	0.00138676	0.933538	0.00138676	0.933538	0.00142503																							
6-1-2012 02:16:30	0.800029	0.000985035	0.800029	0.000985035	0.800029	0.0010075																							
6-1-2012 02:17:30	0.932887	0.00238185	0.932887	0.00238185	0.932887	0.00238952																							
6-1-2012 02:18:30	1.06669	0.00328071	1.06669	0.00195491	1.06669	0.00331415																							
6-1-2012 02:19:30	0.866321	0.00109941	0.866321	0.00109941	0.866321	0.00110581																							
6-1-2012 02:20:30	0.933745	0.00163819	0.933745	0.00163819	0.933745	0.00164711																							
6-1-2012 02:21:30	0.99944	0.00149358	0.99944	0.00149358	0.99944	0.00152322																							
6-1-2012 02:22:30	1.33402	0.00260229	1.33402	0.00256794	1.33402	0.0026459																							
6-1-2012 02:23:30	0.600012	0.00109564	0.600012	0.00109564	0.600012	0.00110636																							
6-1-2012 02:24:30	0.93323	0.00236759	0.93323	0.00225047	0.93323	0.00238543																							
6-1-2012 02:25:30	1.40018	0.0021084	1.40018	0.0021084	1.40018	0.00214583																							
6-1-2012 02:26:30	1.13298	0.00387714	1.13298	0.00262302	1.13298	0.00389538																							
6-1-2012 02:27:30	1.06649	0.0016642	1.06649	0.0016642	1.06649	0.00169393																							
6-1-2012 02:28:30	0.99683	0.001558	0.99683	0.001558	0.99683	0.00158672																							
6-1-2012 02:29:30	1.00314	0.00391856	1.00314	0.00271858	1.00314	0.00394361																							
6-1-2012 02:30:30	0.666724	0.00112695	0.666724	0.00112695	0.666724	0.00113661																							
6-1-2012 02:31:30	0.933134	0.00328531	0.933134	0.00249684	0.866482	0.00329316																							
6-1-2012 02:32:30	1.00021	0.00223322	1.00021	0.00223322	1.00021	0.00226408																							
6-1-2012 02:33:30	1.13368	0.00105086	1.13368	0.00105086	1.13368	0.00108265																							
