time centers	number conc BBHG	mass conc BBHG	"this is for 20130601 using calib ID 2, AD corr added, file x001-x010"
6-1-2013 01:50:30	8.92132	0.0143496	
6-1-2013 01:51:30	11.3324	0.0181313	
6-1-2013 01:52:30	11.5235	0.0197767	
6-1-2013 01:53:30	12.3325	0.0255265	
6-1-2013 01:54:30	10.5843	0.0184827	
6-1-2013 01:55:30	12.4157	0.0224254	
6-1-2013 01:56:30	13.5847	0.0252767	
6-1-2013 01:57:30	17.9156	0.0318509	
6-1-2013 01:58:30	18.9164	0.0337659	
6-1-2013 01:59:30	18.9977	0.0290002	
6-1-2013 02:00:30	23.8327	0.0417477	
6-1-2013 02:01:30	25.1262	0.0481087	
6-1-2013 02:02:30	27.4545	0.0441781	
6-1-2013 02:03:30	27.882	0.0390908	
6-1-2013 02:04:30	27.9952	0.0360221	
6-1-2013 02:05:30	24.5026	0.0378919	
6-1-2013 02:06:30	24.035	0.033873	
6-1-2013 02:07:30	25.7953	0.0394431	
6-1-2013 02:08:30	21.5785	0.034907	
6-1-2013 02:09:30	23.7475	0.0367922	
6-1-2013 02:10:30	25.5474	0.0443571	
6-1-2013 02:11:30	22.4657	0.0380085	
6-1-2013 02:12:30	19.6115	0.0306633	
6-1-2013 02:13:30	21.284	0.0367305	
6-1-2013 02:14:30	17.1411	0.0301111	
6-1-2013 02:15:30	17.998	0.0340786	
6-1-2013 02:16:30	18.1673	0.0303714	
6-1-2013 02:17:30	20.8312	0.0354232	
6-1-2013 02:18:30	18.5843	0.04089	
6-1-2013 02:19:30	16.1913	0.0246883	
6-1-2013 02:20:30	16.3908	0.0289515	
6-1-2013 02:21:30	12.0859	0.0198164	
6-1-2013 02:22:30	13.0014	0.0210979	
6-1-2013 02:23:30	12.4133	0.0237467	
6-1-2013 02:24:30	9.49997	0.0165745	
6-1-2013 02:25:30	9.91777	0.015052	
6-1-2013 02:26:30	12.4162	0.0220899	
6-1-2013 02:27:30	19.5829	0.0320419	
6-1-2013 02:28:30	24.1683	0.0405856	
6-1-2013 02:29:30	20.3325	0.036524	
6-1-2013 02:30:30	20.7521	0.0324913	
6-1-2013 02:31:30	21.1662	0.0360904	
6-1-2013 02:32:30	21.6641	0.0347034	
6-1-2013 02:33:30	22.71	0.0374148	
6-1-2013 02:34:30	17.7505	0.0286487	
6-1-2013 02:35:30	18.6639	0.0303224	
6-1-2013 02:36:30	18.2486	0.0267649	
