BBHG_distrmidpoints	BBHG_BCnumbdistr	BBHG_BCmassdistr
96.7362	0.375677	0.000320519
97.659	0.46519	0.000408355
98.5905	0.396019	0.000357678
99.531	0.375673	0.000349105
100.48	0.421783	0.000403278
101.439	0.347201	0.000341559
102.406	0.377039	0.000381627
103.383	0.379738	0.000395463
104.369	0.387879	0.000415612
105.365	0.337706	0.000372305
106.37	0.363466	0.000412281
107.385	0.360755	0.000421028
108.409	0.355337	0.000426686
109.443	0.378395	0.000467501
110.487	0.355329	0.000451685
111.541	0.334987	0.00043813
112.605	0.330927	0.000445325
113.679	0.297009	0.000411229
114.764	0.314641	0.000448227
115.858	0.310584	0.000455229
116.963	0.288884	0.000435656
118.079	0.320065	0.000496625
119.205	0.339054	0.000541287
120.343	0.284814	0.000467832
121.49	0.257681	0.000435492
122.649	0.278023	0.000483446
123.819	0.287526	0.000514413
125	0.260402	0.000479345
126.193	0.280736	0.000531706
127.396	0.260393	0.000507425
128.612	0.283457	0.000568329
129.838	0.290229	0.000598717
131.077	0.249544	0.000529662
132.327	0.240057	0.000524244
133.59	0.229202	0.000515
134.864	0.23327	0.000539284
136.15	0.225137	0.000535517
137.449	0.238699	0.00058418
138.76	0.22649	0.000570313
140.084	0.238694	0.00061841
141.42	0.230563	0.000614601
142.769	0.17902	0.000490992
144.131	0.198008	0.000558759
145.506	0.195301	0.000567041
146.894	0.18445	0.000551008
148.295	0.168172	0.000516896
149.709	0.192581	0.000609019
151.137	0.198013	0.000644289
152.579	0.181734	0.000608405
154.035	0.16139	0.000555907
155.504	0.168175	0.000596013
156.987	0.164107	0.000598401
158.485	0.149184	0.000559698
159.996	0.160033	0.000617747
161.523	0.168176	0.000667936
163.063	0.174951	0.00071492
164.619	0.136978	0.00057592
166.189	0.16275	0.000704043
167.774	0.145119	0.00064591
169.375	0.146472	0.000670766
170.99	0.154608	0.000728482
172.621	0.149189	0.000723254
174.268	0.138333	0.00069
175.93	0.13291	0.000682103
177.609	0.142407	0.000751959
179.303	0.11799	0.000641029
181.013	0.134265	0.000750523
182.74	0.127489	0.000733233
184.483	0.11935	0.000706253
186.243	0.12206	0.000743157
188.019	0.120702	0.000756122
189.813	0.127488	0.000821706
191.623	0.124772	0.000827433
193.451	0.0922231	0.000629252
195.296	0.109856	0.000771218
197.159	0.117994	0.000852283
199.04	0.107141	0.000796245
200.939	0.10036	0.000767401
202.855	0.0922254	0.000725572
204.79	0.0949348	0.000768466
206.744	0.0935789	0.000779375
208.716	0.0949381	0.000813538
210.707	0.0895128	0.000789208
212.717	0.0962908	0.000873495
214.746	0.101717	0.000949375
216.794	0.105787	0.00101589
218.862	0.094935	0.000938015
220.95	0.0745923	0.00075831
223.057	0.0786623	0.000822789
225.185	0.090869	0.000977927
227.333	0.0542488	0.000600689
229.502	0.0759479	0.000865256
231.691	0.0745938	0.000874381
233.901	0.0569614	0.000686985
236.132	0.069167	0.000858293
238.385	0.0705249	0.000900425
240.658	0.0610314	0.00080173
242.954	0.0556047	0.000751544
245.272	0.0569612	0.000792122
247.611	0.0556063	0.000795621
249.973	0.0745917	0.0010981
252.358	0.0569612	0.000862778
254.765	0.0637442	0.000993412
257.195	0.069167	0.00110907
259.648	0.0691668	0.0011411
262.125	0.096294	0.00163454
264.625	0.126131	0.00220287
267.15	0.150541	0.00270513
269.698	0.113922	0.00210626
272.271	0.0895128	0.00170278
274.868	0.0773037	0.00151301
277.49	0.0637422	0.00128363
280.137	0.0542502	0.00112404
282.809	0.0488253	0.00104087
285.506	0.0474676	0.00104115
288.23	0.043399	0.000979418
290.979	0.0501814	0.0011652
293.755	0.0461108	0.00110161
296.557	0.0325491	0.000800082
299.386	0.0325505	0.000823232
302.241	0.0284812	0.000741125
305.124	0.0325492	0.00087145
308.035	0.0189871	0.000523035
310.973	0.0339063	0.000960995
313.94	0.0298366	0.000870079
316.934	0.0189872	0.000569693
319.958	0.0149187	0.000460554
323.01	0.0216999	0.000689246
326.091	0.0189871	0.000620505
329.201	0.0149184	0.000501623
332.341	0.0149187	0.000516125
335.512	0.49639	0.0176692
