BBHG_distrmidpoints	BBHG_BCnumbdistr	BBHG_BCmassdistr
50.725	0.599445	7.37E-05
51.2089	0.611662	7.74E-05
51.6974	0.632004	8.23E-05
52.1905	0.669969	8.98E-05
52.6883	0.623872	8.60E-05
53.1909	0.598098	8.48E-05
53.6983	0.611664	8.93E-05
54.2105	0.58725	8.82E-05
54.7276	0.59131	9.13E-05
55.2497	0.644208	0.000102397
55.7767	0.594035	9.71E-05
56.3087	0.722873	0.000121636
56.8458	0.649635	0.00011247
57.3881	0.600809	0.000107022
57.9355	0.599458	0.000109866
58.4882	0.615722	0.000116107
59.0461	0.611659	0.000118674
59.6093	0.625225	0.00012481
60.1779	0.632006	0.000129809
60.7519	0.61573	0.000130119
61.3314	0.625224	0.000135943
61.9165	0.69168	0.000154737
62.5071	0.585885	0.000134856
63.1033	0.67676	0.000160274
63.7053	0.625231	0.000152348
64.3129	0.618436	0.000155046
64.9264	0.630652	0.000162677
65.5457	0.580462	0.000154056
66.171	0.640144	0.000174804
66.8022	0.655058	0.000184044
67.4394	0.594034	0.000171721
68.0827	0.607593	0.000180715
68.7321	0.608943	0.000186349
69.3877	0.565549	0.000178069
70.0496	0.561472	0.000181893
70.7178	0.553344	0.000184439
71.3924	0.603527	0.000206978
72.0734	0.587255	0.000207216
72.7609	0.564189	0.000204828
73.4549	0.518081	0.000193523
74.1556	0.594036	0.000228305
74.863	0.549263	0.000217196
75.5771	0.551991	0.000224581
76.298	0.524861	0.000219712
77.0258	0.557409	0.000240078
77.7605	0.607597	0.000269255
78.5023	0.543842	0.000247965
79.2511	0.533002	0.000250044
80.007	0.539777	0.000260537
80.7702	0.553343	0.000274802
81.5407	0.514015	0.000262646
82.3185	0.522152	0.000274511
83.1037	0.50316	0.000272169
83.8964	0.560119	0.000311732
84.6967	0.527574	0.000302102
85.5046	0.534357	0.000314826
86.3202	0.477394	0.000289392
87.1436	0.504522	0.000314672
87.9749	0.507227	0.000325499
88.8141	0.480103	0.000316994
89.6612	0.48689	0.000330762
90.5165	0.459762	0.000321357
91.3799	0.458407	0.000329667
92.2516	0.431285	0.000319122
93.1316	0.465187	0.000354152
94.0199	0.429919	0.000336758
94.9168	0.421789	0.000339935
95.8222	0.450269	0.000373372
