binmids - fit	dM/dlogD (ug/m3) - fit comb	dN/dlogD (1/cm3) - fit comb	binmids - meas	dM/dlogD (ug/m3) - meas	dN/dlogD (1/cm3) - meas		dM/dlogD (ug/m3) - fit HG	dM/dlogD (ug/m3) - fit lG	dN/dlogD (1/cm3) - fit HG	dN/dlogD (1/cm3) - fit LG	dM/dlogD (ug/m3) - meas HG	dM/dlogD (ug/m3) - meas HG bins	dN/dlogD (1/cm3) - meas LG	dN/dlogD (1/cm3) - meas LG bins
327.455	0.000455392	7.21E-15					0.000388554	0.00167335	8.14E-20	0.0367169				
343.047	0.000335472	6.19E-16					0.000282851	0.00135816	3.29E-21	0.0253953				
359.381	0.000244334	4.91E-17					0.00020349	0.00109163	1.20E-22	0.0173834				
376.494	0.000175942	3.59E-18					0.000144681	0.00086888	3.96E-24	0.0117764				
394.421	0.00012526	2.43E-19					0.000101662	0.000684861	1.17E-25	0.00789559				
413.201	8.82E-05	1.52E-20					7.06E-05	0.00053457	3.14E-27	0.00523903				
432.876	6.14E-05	8.76E-22					4.84E-05	0.000413206	7.59E-29	0.00344042				
453.488	4.22E-05	4.66E-23					3.29E-05	0.000316291	1.65E-30	0.00223598				
475.081	2.87E-05	2.29E-24					2.20E-05	0.000239755	3.24E-32	0.0014382				
497.702	1.93E-05	1.04E-25					1.46E-05	0.000179973	5.73E-34	0.00091551				
521.401	1.28E-05	4.37E-27					9.55E-06	0.000133785	9.14E-36	0.000576771				
546.228	8.44E-06	1.69E-28					6.18E-06	9.85E-05	1.31E-37	0.000359615				
572.237	5.49E-06	6.05E-30					3.95E-06	7.18E-05	1.70E-39	0.000221905				
599.484	3.53E-06	2.00E-31					2.50E-06	5.18E-05	1.99E-41	0.000135516				
628.029	2.24E-06	6.10E-33					1.56E-06	3.71E-05	2.10E-43	8.19E-05				
657.933	1.41E-06	1.72E-34					9.63E-07	2.62E-05	1.40E-45	4.90E-05				
689.261	8.74E-07	4.47E-36					5.87E-07	1.84E-05	0	2.90E-05				
722.081	5.37E-07	1.07E-37					3.54E-07	1.28E-05	0	1.70E-05				
756.463	3.26E-07	2.38E-39					2.11E-07	8.78E-06	0	9.85E-06				
792.483	1.96E-07	4.87E-41					1.24E-07	5.98E-06	0	5.65E-06				
830.218	1.16E-07	9.22E-43					7.22E-08	4.03E-06	0	3.21E-06				
869.749	6.81E-08	1.54E-44					4.15E-08	2.69E-06	0	1.80E-06				
911.163	3.95E-08	0					2.36E-08	1.78E-06	0	1.00E-06				
954.548	2.27E-08	0					1.33E-08	1.16E-06	0	5.53E-07				
1000	1.28E-08	0					7.36E-09	7.55E-07	0	3.01E-07				
